Date,USD_by_INR,GBP_by_INR,EUR_by_INR
20081209,49.1788178,72.57099851,63.19439466
20081210,48.69474634,72.16551583,62.99640436
20081211,47.99157029,71.60001702,63.47975398
20081212,49.00319386,73.35008889,65.43096426
20081215,47.76535701,71.8407976,64.590922
20081216,47.81962143,73.35370847,65.52585371
20081217,48.03852264,73.6201883,67.6000756
20081218,47.27504957,72.7580983,69.16137757
20081219,47.21965297,70.96852402,65.88532125
20081222,47.92396521,71.07240447,67.01194933
20081223,48.91130204,72.52052298,68.43170689
20081224,48.4666264,71.59423852,67.94054199
20081229,48.18821568,70.36188254,68.82843964
20081230,48.18450554,69.81881051,67.9935982
20081231,48.52178453,70.98605813,67.59047523
20090102,48.37248726,69.88466427,67.1355767
20090105,48.49939746,70.48110209,65.9330513
20090106,48.74799982,70.91765321,65.05118483
20090107,48.74734055,73.3792482,66.33354978
20090108,48.44027669,73.93436979,66.02237789
20090109,48.43068724,74.15891642,66.33409434
20090112,48.78764009,73.05697281,65.40684653
20090113,49.21204673,71.71704656,65.32562303
20090114,48.92778376,71.05040807,64.51242126
20090115,49.0130879,71.62138541,64.19318137
20090116,48.73505491,72.81481481,64.7314736
20090119,48.41999768,70.64104897,63.88651232
20090120,48.75055874,67.7856015,63.09300769
20090121,49.29652629,67.89185356,63.70091433
20090122,48.97424515,67.43943365,63.64720926
20090123,49.3584795,67.36446973,63.21282018
20090126,48.73945838,67.47590536,63.37134901
20090127,48.74419049,68.75300355,64.27522822
20090128,48.88244452,69.99310432,64.87831311
20090129,48.78422252,69.82053002,64.02038989
20090130,48.92440525,69.92458804,62.75974283
20090202,48.7003341,68.87826844,62.19933156
20090203,48.36300601,68.9125963,62.19933156
20090204,48.80223518,70.36826396,62.61279501
20090205,48.89107011,71.52922044,62.78059927
20090206,48.68148082,71.64320524,62.35066891
20090209,48.64549658,72.74290969,63.33682261
20090210,48.99699894,72.52964316,63.59340792
20090211,49.09228729,70.663242,63.57458326
20090212,48.83978242,69.49760254,62.73429531
20090213,48.76995306,70.82256991,62.59578352
20090216,48.84548339,69.79439337,62.40915961
20090217,49.7229408,71.06585651,62.87829974
20090218,50.0145449,71.30790817,63.05682256
20090219,49.65913101,71.60002304,63.15051359
20090220,49.95112186,71.48011028,62.9518614
20090223,49.90853992,72.8413708,63.93226271
20090224,50.03402238,72.68407139,63.91772227
20090225,50.02877628,72.14517272,64.07126188
20090226,50.51710593,72.53857675,64.63092702
20090227,51.53061011,73.04749748,65.21580803
20090302,52.36075848,73.92594784,66.01485746
20090303,52.09636674,73.46213247,65.78059477
20090304,51.62928197,72.9089541,64.88075708
20090305,51.61919857,72.88652631,64.86808496
20090306,51.80781551,73.77785489,65.63923086
20090309,52.00954567,71.79466597,65.41067945
20090310,51.65611761,71.63999797,66.09333413
20090311,51.52106574,71.26868965,65.93600772
20090312,52.01649405,71.52192109,66.54922449
20090313,51.44656239,72.10063819,66.45344149
20090316,51.5533679,73.13234703,67.29833859
20090317,51.46137088,71.9768731,66.66315321
20090318,51.36595628,71.90911023,67.50612883
20090319,50.39264844,73.34395525,68.95576454
20090320,50.80954564,73.36880077,68.90578108
20090323,50.36690792,73.5648823,68.35086748
20090324,50.60988045,74.34964483,68.42224492
20090325,50.62358281,74.00478114,68.37489797
20090326,50.69307052,74.13736746,69.04211565
20090327,50.5507136,72.4751929,67.26958364
20090330,51.25518814,72.87433229,67.68376312
20090331,51.04831508,73.07914979,67.99818327
20090401,50.70851724,73.05506671,67.23087531
20090402,50.15569149,73.67126175,67.23087531
20090403,50.02747278,73.95564288,67.22424943
20090406,50.12652437,74.83138356,67.7135791
20090407,50.03799402,73.3774655,66.38695199
20090408,50.70775778,74.69542244,67.15373645
20090409,50.08286737,73.59585944,66.53671985
20090414,49.89685745,74.40030998,66.30458222
20090415,49.77443087,74.42671147,65.62874597
20090416,49.89554592,74.44270264,65.90330452
20090417,49.80457588,73.76311371,65.09520831
20090420,50.20046164,73.26129872,65.1503625
20090421,50.44684173,73.51044006,65.29843654
20090422,50.50116826,73.70814178,65.44457907
20090423,50.02034807,72.88149622,65.33717194
20090424,50.00042272,73.11839037,66.22199684
20090427,50.27864909,73.35577207,66.05200634
20090428,50.61935467,73.9584007,65.82573643
20090429,50.22640756,74.23160706,66.69222708
20090430,49.43482841,73.55319991,65.68567523
20090504,49.96566985,74.35561694,66.13095937
20090505,49.39675315,74.82924672,66.26794881
